id	cat	testId	ssim
2877671	flat	q90.avif.y	 0.9978
2877671	flat	q90.avif.r	 0.9696
2877671	flat	q90.avif.g	 0.9959
2877671	flat	q90.avif.b	 0.9936
2877671	flat	q95.jpg.y	 0.9968
2877671	flat	q95.jpg.r	 0.9687
2877671	flat	q95.jpg.g	 0.9944
2877671	flat	q95.jpg.b	 0.9911
2877671	flat	q95.jxl.y	 0.9966
2877671	flat	q95.jxl.r	 0.9709
2877671	flat	q95.jxl.g	 0.9949
2877671	flat	q95.jxl.b	 0.9922
2877671	flat	q95p.jpg.y	 0.9968
2877671	flat	q95p.jpg.r	 0.9687
2877671	flat	q95p.jpg.g	 0.9944
2877671	flat	q95p.jpg.b	 0.9911
2877671	flat	q95p.jxl.y	 0.9966
2877671	flat	q95p.jxl.r	 0.9709
2877671	flat	q95p.jxl.g	 0.9949
2877671	flat	q95p.jxl.b	 0.9922
2877671	flat	q95.webp.y	 0.9952
2877671	flat	q95.webp.r	 0.9763
2877671	flat	q95.webp.g	 0.9936
2877671	flat	q95.webp.b	 0.9859
3115030	flat	d1.jxl.y	 0.9982
3115030	flat	d1.jxl.r	 0.9937
3115030	flat	d1.jxl.g	 0.9981
3115030	flat	d1.jxl.b	 0.9965
3115030	flat	d2.jxl.y	 0.9975
3115030	flat	d2.jxl.r	 0.9915
3115030	flat	d2.jxl.g	 0.9973
3115030	flat	d2.jxl.b	 0.9947
3115030	flat	p56.webp.y	 0.9977
3115030	flat	p56.webp.r	 0.9939
3115030	flat	p56.webp.g	 0.9966
3115030	flat	p56.webp.b	 0.9908
3115030	flat	q90.avif.y	 0.9988
3115030	flat	q90.avif.r	 0.9971
3115030	flat	q90.avif.g	 0.9977
3115030	flat	q90.avif.b	 0.9976
3115030	flat	q95.jpg.y	 0.9981
3115030	flat	q95.jpg.r	 0.9961
3115030	flat	q95.jpg.g	 0.9969
3115030	flat	q95.jpg.b	 0.9961
3115030	flat	q95.jxl.y	 0.9981
3115030	flat	q95.jxl.r	 0.9967
3115030	flat	q95.jxl.g	 0.9971
3115030	flat	q95.jxl.b	 0.9969
3115030	flat	q95p.jpg.y	 0.9981
3115030	flat	q95p.jpg.r	 0.9961
3115030	flat	q95p.jpg.g	 0.9969
3115030	flat	q95p.jpg.b	 0.9961
3115030	flat	q95p.jxl.y	 0.9981
3115030	flat	q95p.jxl.r	 0.9967
3115030	flat	q95p.jxl.g	 0.9971
3115030	flat	q95p.jxl.b	 0.9969
3115030	flat	q95.webp.y	 0.9978
3115030	flat	q95.webp.r	 0.9941
3115030	flat	q95.webp.g	 0.9967
3115030	flat	q95.webp.b	 0.9910
3320429	g4sa	d1.jxl.y	 0.9983
3320429	g4sa	d1.jxl.r	 0.9917
3320429	g4sa	d1.jxl.g	 0.9977
3320429	g4sa	d1.jxl.b	 0.9804
3320429	g4sa	d2.jxl.y	 0.9967
3320429	g4sa	d2.jxl.r	 0.9873
3320429	g4sa	d2.jxl.g	 0.9957
3320429	g4sa	d2.jxl.b	 0.9718
3320429	g4sa	p56.webp.y	 0.9987
3320429	g4sa	p56.webp.r	 0.9891
3320429	g4sa	p56.webp.g	 0.9962
3320429	g4sa	p56.webp.b	 0.9869
3320429	g4sa	q90.avif.y	 0.9996
3320429	g4sa	q90.avif.r	 0.9990
3320429	g4sa	q90.avif.g	 0.9993
3320429	g4sa	q90.avif.b	 0.9988
3320429	g4sa	q95.jpg.y	 0.9979
3320429	g4sa	q95.jpg.r	 0.9963
3320429	g4sa	q95.jpg.g	 0.9974
3320429	g4sa	q95.jpg.b	 0.9955
